500002,ABB
500003,AEGISLOG
500008,ARE&M
500009,AMBALALSA
500012,ANDHRAPET
500013,ANSALAPI
500014,UTIQUE
500016,ARUNAHTEL
500020,BOMDYEING
500023,ASIANHOTNR
500027,ATUL
500028,ATVPR
500031,BAJAJELEC
500032,BAJAJHIND
500033,FORCEMOT
500034,BAJFINANCE
500038,BALRAMCHIN
500039,BANCOINDIA
500040,CENTURYTEX
500041,BANARISUG
500042,BASF
500043,BATAINDIA
500048,BEML
500049,BEL
500052,BEPL
500058,BIHSPONG
500059,BINANIIND
500060,BIRLACABLE
500067,BLUESTARCO
500068,DISAQ
500069,QUESTCAP
500074,BPL
500078,OAL
500083,CENTEXT
500084,CESC
500085,CHAMBLFERT
500086,EXIDEIND
500087,CIPLA
500089,DICIND
500092,CRISIL
500093,CGPOWER
500096,DABUR
500097,DALMIASUG
500101,ARVIND
500103,BHEL
500104,HINDPETRO
500106,IFCI
500108,MTNL
500109,MRPL
500110,CHENNPETRO
500112,SBIN
500113,SAIL
500114,TITAN
500116,IDBI
500117,DCW
500119,DHAMPURSUG
500120,DIAMINESQ
500123,ELANTAS
500124,DRREDDY
500125,EIDPARRY
500126,PGHL
500128,ELECTCAST
500133,ESABINDIA
500135,EPL
500136,ESTER
500142,FGP
500143,PHCAP
500144,FINCABLES
500147,COCKERILL
500148,UFLEX
500150,FOSECOIND
500151,GOLDENTOBC
500153,GANESHBE
500159,METROGLOBL
500160,GTL
500163,GODFRYPHLP
500164,GODREJIND
500165,KANSAINER
500166,GOODRICKE
500168,GOODYEAR
500170,GTNINDS
500171,GHCL
500173,GFLLIMITED
500174,GLFL
500179,HCL-INSYS
500180,HDFCBANK
500182,HEROMOTOCO
500183,HFCL
500184,HSCL
500185,HCC
500186,HINDOILEXP
500187,AGI
500188,HINDZINC
500189,NDLVENTURE
500191,HMT
500192,PRAGBOS
500193,HLVLTD
500199,IGPL
500201,INDIAGLYCO
500202,INDLEASE
500206,MARGOFIN
500207,INDORAMA
500209,INFY
500210,INGERRAND
500213,ITHL
500214,IONEXCHANG
500215,ATFL
500219,JISLJALEQS
500220,JASCH
500227,JINDALPOLY
500228,JSWSTEEL
500231,UMANGDAIRY
500233,KAJARIACER
500234,KAKATCEM
500235,KSL
500236,KANELIND
500238,WHIRLPOOL
500239,KGDENIM
500240,KINETICENG
500241,KIRLOSBROS
500243,KIRLOSIND
500245,KIRLFER
500246,ENVAIREL
500247,KOTAKBANK
500248,KRIFILIND
500249,KSB
500250,LGBBROSLTD
500251,TRENT
500252,LAXMIMACH
500253,LICHSGFIN
500257,LUPIN
500259,LYKALABS
500260,RAMCOCEM
500262,HYBRIDFIN
500264,MAFATIND
500265,MAHSEAMLES
500266,MAHSCOOTER
500267,MAJESAUT
500268,MANALIPETC
500270,BARODARY
500271,MFSL
500277,MIDINDIA
500279,MIRCELECTR
500280,CENTENKA
500282,MODTHREAD
500284,LORDSCHLO
500285,SPICEJET
500288,MOREPENLAB
500290,MRF
500292,HEIDELBERG
500294,NCC
500295,VEDL
500296,NAHARSPING
500298,NAPEROL
500300,GRASIM
500302,PEL
500304,NIITLTD
500306,JAYKAY
500307,NIRLON
500312,ONGC
500313,OILCOUNTUB
500314,ORIENTHOT
500317,OSWALAGRO
500319,INDSUCR
500322,PANCM
500325,RELIANCE
500327,PILITA
500330,RAYMOND
500331,PIDILITIND
500333,PIXTRANS
500335,BIRLACORPN
500336,SURYAROSNI
500337,PRIMESECU
500338,PRSMJOHNSN
500339,RAIN
500342,PRUDMOULI
500343,AMJLAND
500346,PUNJCOMMU
500350,RSWM
500354,RAJSREESUG
500355,RALLIS
500356,RAMANEWS
500357,RAMAPPR-B
500360,RAPICUT
500365,WELSPLSOL
500367,RUBFILA
500368,PATANJALI
500370,SALORAINTL
500378,JINDALSAW
500380,JKLAKSHMI
500387,SHREECEM
500388,SKPMIL
500389,SILVERLINE
500390,RELINFRA
500400,TATAPOWER
500402,SPMLINFRA
